,Neuron01,Neuron02,Neuron03,Neuron04,Neuron05,Neuron06,Neuron07,Neuron08,Neuron09,Neuron10,Neuron11,Neuron12,Neuron13,Neuron14,Neuron15,Neuron16,Neuron17,Neuron18,Neuron19,Neuron20,Neuron21,Neuron22,Neuron23,Neuron24,Neuron25,Neuron26,Neuron27,Neuron28,Neuron29,Neuron30,Neuron31,Neuron32,Neuron33,Neuron34,Neuron35,Neuron36,Neuron37,Neuron38,Neuron39,Neuron40
674,-2.551919,-2.5567584,0.75515485,-2.1716027,-2.629292,-7.7112536,-5.162342,-2.9135318,-2.9776373,-3.571934,2.0745971,-0.7673824,-9.736927,-2.5337439,-2.4806821,-0.1816093,-0.9579013,-6.383701,-1.2686118,-0.7510059,-6.7209764,-1.9127645,-2.8541145,-9.319059,-5.011251,-1.336196,0.9195442,-1.6874691,-4.9909353,1.3922157,-3.7671897,-1.8428082,1.8864288,-5.6354294,0.7380631,2.4288335,-1.8512934,-6.4572234,-4.366162,2.0212967
684,-2.2514603,-2.12588,0.89679164,-2.398037,-3.0422292,-7.8346786,-5.002001,-3.09595,-2.696712,-3.706102,1.731371,-0.8798996,-9.842285,-1.8145773,-2.7546475,0.032743573,-1.1334138,-6.681997,-1.0321947,-0.7810532,-6.9717083,-1.9845258,-2.9821763,-9.551194,-6.0790677,-1.2729127,0.50790673,-1.234181,-4.9145904,1.7401596,-3.4824257,-1.6573577,1.4729025,-5.688289,0.2498956,2.774298,-1.8311769,-6.7604017,-4.951404,2.041425
694,-2.131712,-0.21775585,0.93067414,-1.3937709,-1.5832632,-6.916876,-4.07088,-1.8335687,-3.4107502,-3.5885339,0.4212646,-1.4225316,-7.75241,-1.0729398,-3.3296592,-0.023342531,-1.4559312,-7.1394753,0.10511764,-1.2213998,-7.1985598,-1.7986426,-1.8010694,-9.0138,-6.821552,-0.3205948,-0.8295047,-1.2432442,-4.7476563,1.6696441,-3.6189384,-2.1478193,-0.08983117,-5.4464273,-0.6953804,2.664847,-1.1691417,-5.674488,-4.9198823,1.7657986
704,-0.44741336,1.267847,1.5276109,0.3233339,0.083379425,-3.9883695,-2.4077544,-0.68206584,-3.5080347,-2.217941,-0.39084804,-0.22318543,-3.079608,0.9689065,-3.6898768,0.41756234,-1.3400042,-7.1666927,1.274716,-0.24854878,-6.598247,-1.5320288,-0.9814042,-4.961401,-5.8957224,-0.051958647,-0.6263822,-1.0531396,-4.897821,1.4721509,-3.2662842,-1.610498,-1.7730641,-4.4157324,-1.31501,2.4306397,-0.004497917,-4.659208,-3.1295342,1.4498496
714,0.010667315,1.6026375,1.6329435,0.939107,0.46852878,-1.5953989,-0.83676785,-0.46758926,-3.4186668,-1.491831,-0.0044752243,0.8262282,-0.74346465,1.5490775,-2.9324627,0.6997381,-1.1280466,-5.8641243,1.5612793,0.32515702,-5.1396046,-0.6275134,-0.5223501,-2.407534,-4.075534,1.1948515,-0.07226512,-0.028002182,-4.3573356,1.2820709,-2.7990274,-0.81958485,-1.7514579,-1.9919065,-1.1910095,2.1840556,1.0703238,-2.5284412,-1.6113012,1.1893072
724,-0.5488508,2.3997827,1.0293744,1.4336416,1.3135446,0.23502548,1.262435,0.50152117,-3.1599636,-1.4319967,-0.41307095,0.071232,1.564566,1.1573329,-1.5131289,0.064146966,-0.936334,-2.6566036,1.3201648,-0.72618455,-2.4748497,-0.20926973,0.80598694,-0.3533358,-0.38915196,2.0428529,-0.4788456,1.2087331,-3.9757166,0.6727004,-1.9690171,-0.7659629,-1.1718996,1.3827863,-0.7676471,0.7214455,1.4925022,0.42233825,-0.6430973,0.706469
734,2.2728086,1.5495739,1.2881061,1.2701385,1.5053005,0.78151894,0.3730965,0.8365015,-4.386597,0.25614753,-0.15600036,1.3938112,1.5310674,2.0913665,-2.712912,1.1656617,-0.0734592,-1.877836,1.195456,1.6584443,-0.08677694,-0.13575423,0.5951207,1.1340486,-1.1130052,0.26385245,0.8231128,0.36104354,-5.607633,0.48140755,-2.3085527,0.093168125,-1.2085773,2.4050062,-1.2993937,0.6576037,0.59065837,0.08156958,0.51028305,0.7113433
744,2.3755765,1.1459714,1.4149742,0.7862476,0.9523017,1.0084971,-0.053646747,0.19216546,-5.538105,0.7334262,0.2878178,1.4787607,1.4103603,1.7320932,-3.6647909,0.9109886,0.0057049505,-1.2159178,0.5417123,1.9645735,0.85486966,0.15231055,0.34725013,1.0712352,-1.4029869,-0.019971956,1.1122253,0.947677,-6.3750486,0.41256157,-2.0806162,1.2222687,-0.46975952,2.59668,-0.6767396,2.4419362e-05,0.625041,0.3675158,1.0676099,0.0081745945
754,1.0008569,1.569636,0.619911,0.35776705,0.67274797,0.8644533,0.47159845,0.2922639,-6.1445003,0.12712918,-0.0032094605,0.0781657,1.3566643,0.7556149,-4.258323,0.03203463,0.20142885,-0.6815373,-0.12188639,-0.3901564,1.4136252,0.728593,0.94439405,0.4054395,-0.23158933,0.69799364,0.822892,2.0313327,-6.5878253,-0.271112,-2.3285735,0.076383576,0.49191317,3.5313134,0.057375148,-1.3261243,0.7101488,1.0851997,0.57550627,-0.9435668
765,0.8489721,0.58705646,-0.08846176,-0.4604177,0.31610394,0.6372129,0.32480696,0.44580328,-6.3991895,-0.55085564,-1.2415589,-1.3427479,1.2211398,-0.095530845,-4.5272202,-1.4419638,-0.760006,-0.5243782,-1.2300216,-1.4039441,1.2053201,0.17479326,1.343051,-0.23053716,0.035071492,0.3698277,-1.4727958,1.3664783,-7.120843,-0.3421147,-2.5544364,-0.32832363,-0.0697765,3.9339795,-0.59259576,-1.8319426,-0.20898703,1.1306938,-0.26777205,-1.7127872
775,2.5084934,0.9185056,1.5238668,0.35742837,0.23779535,0.882303,-0.9794853,-0.14011559,-6.9075637,1.312392,0.940894,2.0937762,0.34190536,1.6447574,-5.5010185,1.4894742,0.56020296,-2.248328,0.1545982,2.5470278,0.26300594,0.15086187,-0.434568,0.932353,-2.1896095,-0.6316316,2.092617,1.1092887,-7.6590147,1.4123243,-2.589434,1.9986286,0.304533,2.567322,-0.0003145431,0.36222956,-0.060141668,-0.5794493,1.52615,0.34634697
786,1.6098102,0.22363447,0.52011174,-0.446341,-0.13252212,0.3051164,-0.7701211,-0.121426105,-6.536141,0.4067857,-0.11882237,-0.02618037,0.23816064,0.712238,-4.757939,-0.29392207,-0.039529745,-1.190867,-0.7321891,0.41318685,0.98879373,0.23907661,0.07137936,-0.048384074,-1.2633173,-0.015457948,0.43508154,1.2413749,-7.2260475,0.7198002,-2.6789305,0.7036856,0.21545836,2.9020455,-0.22758694,-0.75407654,-0.3728093,-0.29553437,0.30234322,-0.94211674
796,1.3307283,0.27543315,0.94449574,-0.33055422,-0.24753036,0.27279016,-0.76048845,-0.17374118,-6.4822545,0.18283132,0.30927408,0.33653527,0.010627712,0.74746805,-4.8227773,-0.04235218,0.022566713,-1.5925903,-0.66154754,0.5561303,0.1873313,0.027340649,0.110116236,-0.07664131,-1.2614233,-0.28294033,0.6237484,1.3216627,-7.312892,1.2805924,-2.809321,0.77319354,0.5253046,2.7864044,-0.16547962,-0.48656037,-0.15014967,-0.2621586,0.5376436,-0.5474681
807,0.449448,0.51830965,0.52143586,-0.0036812783,-0.2070067,0.448097,-0.2227156,-0.039930623,-6.4381866,0.14156286,0.17733614,-0.14748242,0.26929218,0.29712698,-4.4214463,-0.03238534,0.13022587,-1.1728026,-0.6522795,-0.35085213,0.30615616,0.36282465,0.47843564,-0.2727179,-0.6808118,0.44275486,0.52677435,1.8018665,-7.118093,1.1642272,-2.5788546,0.5553968,0.7036668,3.5599413,0.17433923,-0.9661737,-0.09893179,0.20186445,0.3103929,-0.6405554
817,0.20140041,0.19757716,-0.0650382,-0.7494916,-0.40621677,-0.122460045,-0.36556697,-0.009967934,-5.9762325,0.014772684,-0.11480678,-0.9452508,0.16267394,-0.15878747,-3.5730526,-1.1010387,-0.22661334,-1.033085,-0.9726018,-0.75893486,0.2539338,0.46077624,0.7713731,-0.46379766,-0.111339964,0.54790294,-0.7291573,1.5475513,-6.353439,1.425366,-2.4326448,0.5450423,0.16346845,3.9461045,-0.09540206,-0.7654789,-0.20173508,-0.20356038,-0.18232532,-1.0629288
828,1.4834445,-0.17125075,0.3909702,-0.45005786,-0.076459005,-0.008771564,-0.17488356,0.25303566,-6.064014,0.49622148,-0.017206462,-0.33081564,-0.014135062,0.26186275,-3.9644647,-0.3135359,-0.047740974,-0.933671,-0.60763174,0.18263523,0.0020053505,0.16616035,0.58700824,0.029215757,-0.38261652,-0.46317756,-0.35272616,0.75150335,-6.6467676,1.9329439,-2.490931,0.64770466,0.38301632,3.9983664,-0.18396781,-0.110261984,-0.48077404,-0.44630927,0.18375109,-0.42802304
839,1.8390999,0.2027678,0.40630472,-0.022699714,0.28358468,0.08551441,-0.21780343,0.5092585,-6.829309,0.4888488,0.02911266,0.11555191,0.15465191,0.59021044,-4.5942535,0.17468768,0.15154077,-1.202712,-0.31922364,0.76234394,-0.049414665,0.021433368,0.42376566,0.46982947,-0.80051345,-0.74345666,0.62644637,0.50673467,-7.2670145,2.4862146,-2.5626006,0.7915086,0.29256243,3.4971428,-0.12139926,-0.10708816,-0.65758973,-0.009082315,0.52091056,-0.10820505
849,1.2926303,0.154445,0.33358324,0.21067655,0.17598677,0.19458683,-0.38530183,0.22580439,-6.9064655,0.41431075,0.03548918,-0.027475515,0.14823017,0.52661246,-4.7858267,0.14085653,0.24346833,-1.3978373,-0.40225267,0.50917953,-0.03681999,-0.0065642195,0.33389664,0.07328193,-1.349895,-0.31525302,0.74185497,0.9790417,-7.463893,2.1003158,-2.689457,0.5736536,0.6466972,3.2994905,-0.12406039,0.04000349,-0.5135968,0.057991847,0.5085572,-0.21010119
860,1.0410599,0.1856353,0.5540289,0.22543553,0.31988302,0.52607405,-0.27085996,0.2180738,-6.8563595,0.3841314,0.088524245,0.22647752,0.17016195,0.542114,-4.7896204,0.47029394,0.17682113,-1.6618253,-0.27210832,0.25333592,-0.009673633,0.2547668,0.38275254,0.09006994,-1.135295,-0.300146,0.9063657,0.9157082,-7.2668552,1.9479626,-2.7861655,0.338029,0.8151683,3.3372047,0.09273278,0.13229841,-0.39228222,0.21421918,0.8406077,0.2222918
871,1.0277295,0.45566198,0.515721,0.24927941,0.33045447,0.29892716,-0.052265696,0.324926,-6.516459,0.2761657,0.33503187,0.4579594,-0.10879156,0.52717704,-4.569713,0.7056295,0.5219361,-1.4655305,-0.11370958,0.3230619,-0.00993876,0.3007302,0.34895217,0.050846707,-1.128895,-0.16962068,1.1012923,1.0954955,-7.2944427,2.0148747,-2.5104785,0.5167228,0.95160335,3.2932394,0.2857903,0.23018695,-0.092434414,0.36846575,0.9261261,0.34542704
881,0.42877027,0.53250766,0.55090976,0.41463968,0.30266455,0.4983359,0.20603295,0.14539717,-6.621374,0.14830281,0.27006444,0.34715667,0.27324238,0.22598824,-4.573685,0.6814513,0.53394836,-1.281012,-0.051249698,-0.15958795,-0.38954413,0.52457905,0.41530702,0.08625195,-0.81845766,0.22054398,1.364874,1.4663419,-7.1673727,2.169539,-2.3951828,0.4096675,1.1876342,3.429769,0.6761232,0.13074902,-0.10619716,0.4837201,0.5995511,0.39496827
892,-0.26368132,0.9596062,0.25958723,0.60218287,0.18046252,0.669728,0.4243207,-0.11133653,-6.4245515,0.06564049,0.2945963,0.014321347,0.06933592,-0.09299795,-3.9005404,0.32847813,0.5697558,-1.0855452,-0.16701305,-0.83407795,-0.4346556,0.84288317,0.80251807,-0.24046302,0.10843266,0.98630875,1.0334339,2.0079646,-7.025472,2.116762,-2.3164353,0.21357572,1.4887824,4.005282,0.8346848,0.18831225,0.32525724,0.9039875,0.51613337,0.24590413
903,-0.7262526,0.37355047,-0.06509832,0.08483024,-0.14901488,0.22090383,0.43751758,-0.0151326405,-5.4828606,-0.34706005,0.21831666,-0.6863672,0.07157961,-0.3904652,-2.6346605,-0.5033471,0.17600563,-0.49671373,-0.75052154,-1.1291071,-0.88232875,0.6867461,1.1670188,-0.48237124,1.0128917,1.316971,0.16381475,1.9036674,-5.7525473,2.3770463,-2.1638603,0.1197926,1.2663593,4.4941816,0.8669132,0.07512644,0.40211076,0.4138893,0.06877892,-0.14281875
913,0.04770069,0.16428335,0.57841325,-0.1112047,-0.16827807,-0.18510576,0.12411103,0.31087652,-5.310209,0.38653785,0.4934493,-0.06480493,-0.16625305,-0.017875576,-2.6861193,0.015748428,0.55614656,-1.0483848,-0.27954003,-0.23540851,-1.5126492,0.57463783,0.971276,0.06070761,0.74120414,0.36305168,0.41099998,1.2081414,-5.489803,3.6853197,-1.9609665,0.7996142,0.88668317,4.2804785,0.6212544,0.88978547,0.08897555,-0.31216738,0.32243216,0.51462084
924,-1.6933804,1.1462557,-0.034654878,0.9575163,0.38550168,0.5119089,1.7412788,0.42533812,-4.7903156,-0.3192287,0.523217,-0.6360552,0.5515614,-1.2129343,-1.5401484,0.32273555,0.6780834,0.31062853,-0.13017237,-1.830645,-0.7189093,1.0084379,1.6339177,-0.51381075,2.5425143,1.8527775,0.6594965,2.1897025,-4.4121833,2.4869838,-1.7931097,-0.45973223,2.123645,5.55707,1.4029815,0.4432929,0.7368932,1.2900956,0.47486013,0.54403096
934,-4.208878,1.2351651,-0.5993886,0.39640412,-0.47495124,0.060049836,3.0015097,-0.022332806,-2.479595,-1.7479452,0.065037616,-2.0991256,0.4124093,-2.3474977,0.65152377,-1.2889463,0.66528386,0.5018241,-0.80781645,-4.1972117,-2.1453156,2.1494637,1.9737682,-1.6681691,4.4614697,3.785003,-1.4749863,2.7624547,-2.1435425,1.7957841,-1.6468092,-1.501097,2.388768,6.5216765,1.987135,0.1450479,1.4132297,2.0986986,-0.8556781,-0.23310332
945,-0.3108774,-0.85057753,-0.10076022,-0.3184508,-0.19061682,-1.4233242,0.6842494,0.25297415,-3.1351776,0.29924202,0.5578156,-1.5851984,-0.6093422,-0.8108465,-1.1512971,-0.29827893,0.5846916,-1.2557735,0.56898695,-1.0061466,-3.5430753,0.21034634,0.8655414,0.5353996,2.8542283,0.6075093,-1.7711978,-0.6831319,-3.271504,4.3380375,-1.6248921,-0.21855016,0.38767296,4.6320486,-0.019915177,1.7078363,0.49547178,-1.2303545,-1.5416179,0.99984485
956,1.8075609,-1.4366201,0.18802518,-0.85101324,0.051790506,-1.8009441,-0.42074466,0.9489297,-3.2368135,1.0214977,-0.057316516,-0.5595021,-0.8093132,0.3848917,-1.9556663,0.30308542,0.49612504,-1.4911369,0.9134546,1.3843429,-3.4043565,-0.96569127,0.45417044,1.6349534,1.0858198,-0.9772316,-1.7161806,-2.0583045,-3.499005,5.072389,-1.362275,0.46504802,-0.92068124,3.65668,-1.1944851,2.6999676,-0.6205514,-2.5472388,-1.471216,1.8707334
967,2.060623,-1.1030421,0.32497245,-0.35927993,0.49490485,-1.1673863,-1.3970665,0.72599137,-4.779676,1.3265945,0.29568937,1.0063912,-0.71808976,0.9347076,-3.2509916,0.95887125,0.68525743,-2.364035,1.2945485,2.0751352,-2.8888392,-1.0587395,0.154999,1.8184959,-0.69821835,-1.1333401,0.22647288,-1.4775517,-5.407674,5.0990767,-1.9415447,0.97039574,-1.1097517,3.5949912,-0.84174454,2.8243203,-0.61387855,-2.3176842,-0.53790456,2.3453615
977,1.583485,-0.6561807,0.3397378,-0.027116327,0.3231948,-0.68460256,-1.230991,0.54363257,-6.3540196,0.52865845,0.18912606,1.0139498,-0.58871603,0.80187994,-4.013699,0.8314478,0.7245291,-2.3776686,1.1049769,1.4550445,-2.4716547,-0.49567732,0.23193094,0.7209317,-1.2383057,-0.45150957,0.6315688,-0.38867453,-6.5759664,4.417643,-2.3062258,0.5468689,-0.3396143,3.280232,-0.13785623,2.2879274,-0.114694916,-1.2625179,-0.089745946,2.1058016
979,0.068473145,-0.5000471,-0.5429187,-0.3909322,0.0947061,-0.94450366,-0.43827617,0.3485543,-4.1450696,-0.27866346,-0.53967094,-0.9007365,-0.031446867,-0.69029045,-1.7989572,-0.6888516,0.17534888,-0.6822908,0.36177015,-1.2187446,-1.4462059,-0.15111114,1.1102042,0.028023945,0.86618537,0.6059211,-0.7145922,0.60313797,-4.3681927,3.45326,-1.7317249,-0.25629854,-0.045802094,4.0768976,0.043446723,1.2835089,0.3243943,-0.58039486,-0.91591644,0.3871205
989,0.55667484,-0.9852251,-0.85065264,-0.77038676,-0.18499817,-1.1557307,-0.9077049,0.19113961,-4.6152234,-0.39812893,-0.88042593,-0.9493141,-0.23200041,-0.7382646,-2.4242926,-1.0898263,-0.23488814,-0.8651155,0.34207287,-0.75234705,-0.9884846,-0.68443835,0.4232667,-0.009560951,-0.3185707,0.040305283,-1.0353541,0.3223869,-4.9715257,2.9733534,-1.9127865,0.06619478,-0.3331489,3.066431,-0.24517347,1.19461,-0.25624055,-0.42177117,-1.1826657,0.5788843
999,0.6655374,-0.7889924,-0.5868329,-0.010211977,0.001188301,-0.9395626,-0.74186194,0.18346812,-4.814615,-0.26198253,-0.26086706,-0.6608292,-0.58253103,-0.47680357,-2.469658,-0.41114363,0.23010182,-0.56119996,0.6772071,-0.9927979,-0.61400706,-0.3927705,0.516698,-0.2264687,-0.42961186,0.13986337,-0.27883086,0.6298783,-5.2759385,2.7048602,-1.6848756,-0.03410734,0.14513624,3.1142075,0.10604343,1.1340702,0.21975617,-0.1332181,-0.8280243,0.6069446
bias,-0.5906026,-0.15750626,-0.6325383,-1.5594282,-0.7533032,-2.1173346,-1.7720556,0.21095386,-0.25425804,-0.30253473,-0.4365066,-0.661131,-1.5234207,-0.7916368,-0.6079672,-0.7520277,-1.4259927,-1.4135073,-0.7255785,-0.38559932,-0.9014827,-0.7208047,0.31176788,-1.1398758,-0.5716437,-0.4083144,-0.38797963,-1.2675298,-0.34204054,-0.7476621,-2.0275486,-0.28770578,-0.2100894,-1.0877118,-0.5439744,-0.11956953,-0.92454433,-2.3400388,-1.4641834,-0.46369487
